Date,Open,High,Low,Close,Volume
3-Jan-00,1269,1274.35,1210,1274.35,24568
4-Jan-00,1350,1376.25,1315,1369.95,52479
5-Jan-00,1330,1349,1260.4,1270,37592
6-Jan-00,1260.4,1371.55,1260.4,1371.55,52919
7-Jan-00,1381,1481.25,1336.25,1481.25,44444
10-Jan-00,1500,1565,1428,1430,25694
11-Jan-00,1440,1450,1330,1450,23446
12-Jan-00,1450,1555,1450,1552,27936
13-Jan-00,1525,1590,1500,1501,42443
14-Jan-00,1491,1502,1451,1485,22015
17-Jan-00,1367,1485,1367,1470,7805
18-Jan-00,1440,1470,1412,1465,16160
19-Jan-00,1460,1507,1450.5,1457,16660
20-Jan-00,1485,1537.5,1441,1537,32269
21-Jan-00,1530,1647,1511,1630,56523
24-Jan-00,1725,1748,1650,1700,47491
25-Jan-00,1685,1685,1575,1598,33743
27-Jan-00,1623.9,1629.75,1500,1506,24477
28-Jan-00,1525,1597,1502.1,1555,25644
31-Jan-00,1560,1560,1485.1,1500,17705
1-Feb-00,1535,1535,1470,1488.75,9110
2-Feb-00,1495,1515,1475.55,1485,8476
3-Feb-00,1472,1490,1462.1,1473,2611
4-Feb-00,1478,1490,1445,1465.1,16123
7-Feb-00,1450,1455,1392,1392,9933
8-Feb-00,1381,1392,1340,1350,13925
9-Feb-00,1331,1350,1254,1268.65,18930
10-Feb-00,1280,1280,1220,1240,8557
11-Feb-00,1211.1,1238.95,1208.05,1210,17466
14-Feb-00,1299,1299,1155,1166.05,21733
15-Feb-00,1181,1181,1072.8,1073,32613
16-Feb-00,1076,1158.8,1060,1140,28731
17-Feb-00,1149,1231.15,1141,1231.15,18749
18-Feb-00,1275,1329,1240,1265,43534
21-Feb-00,1320,1324.9,1187.25,1213,16952
22-Feb-00,1200,1200,1116,1127.5,23929
23-Feb-00,1143.65,1181,1090,1091,13263
24-Feb-00,1164.85,1164.9,1050.25,1067,12235
25-Feb-00,1075,1075,1000,1020,25113
28-Feb-00,1030,1080,1000,1019.5,19811
29-Feb-00,1020,1101.05,937.95,969,49682
1-Mar-00,980,990,930,987,17789
2-Mar-00,1000,1010,911,939.5,81946
3-Mar-00,935,940,864.35,864.35,21190
6-Mar-00,910,910,795.25,795.25,15517
7-Mar-00,745,810,731.65,762,48804
8-Mar-00,765,820,750,760.1,21900
9-Mar-00,710,795,699.9,735,25996
10-Mar-00,750,770,676.25,676.25,27849
13-Mar-00,724,730.3,700,730.3,11480
14-Mar-00,744.45,788.7,744.45,788.7,9275
15-Mar-00,830,851.75,810,851.75,8146
