Date,Open,High,Low,Close
8/19/2007,1765,1765,1750,1765
8/20/2007,1765,1770,1761,1770
8/21/2007,1770,1780,1750,1775
8/22/2007,1775,1780,1775,1780
8/23/2007,1780,1800,1765,1795
8/26/2007,1795,1800,1800,1800
8/27/2007,1800,1790,1775,1775
8/30/2007,1775,1770,1755,1770
8/30/2007,1775,1770,1755,1770
9/2/2007,1770,1811,1790,1806
9/3/2007,1806,1819,1800,1800
9/5/2007,1800,1920,1800,1920
9/6/2007,1920,1989,1950,1980
9/9/2007,1980,2050,1966,2025
9/10/2007,2025,2227,2031,2227
9/11/2007,2227,2250,2225,2240
9/12/2007,2240,2240,2147,2175
9/13/2007,2175,2174,2140,2140
9/18/2007,2140,2120,2120,2120
9/19/2007,2120,2100,2058,2058
9/20/2007,2058,2263,2099,2263
9/23/2007,2263,2315,2300,2310
9/24/2007,2310,2320,2290,2305
9/26/2007,2305,2307,2299,2300
9/27/2007,2300,2435,2300,2411
9/30/2007,2411,2525,2450,2525
10/1/2007,2525,2610,2560,2570
10/2/2007,2570,2600,2570,2600
10/3/2007,2600,2600,2550,2550
10/4/2007,2550,2575,2500,2500
10/7/2007,2500,2500,2500,2500
10/8/2007,2500,2499,2499,2499
10/9/2007,2499,2450,2401,2401
10/10/2007,2401,2353,2306,2306
10/11/2007,2306,2350,2300,2350
10/14/2007,2350,2400,2350,2400
10/15/2007,2400,2400,2300,2300
10/28/2007,2310,2265,2235,2235
10/29/2007,2235,2240,2192,2200
10/30/2007,2200,2244,2181,2225
10/31/2007,2225,2400,2268,2375
11/1/2007,2375,2473,2375,2455
11/4/2007,2455,2463,2425,2450
11/5/2007,2450,2450,2440,2440
11/6/2007,2440,2451,2439,2440
11/7/2007,2440,2460,2435,2460
11/8/2007,2460,2411,2405,2405
11/12/2007,2405,2425,2425,2425
11/13/2007,2425,2450,2430,2450
11/14/2007,2450,2499,2450,2499
11/15/2007,2499,2511,2500,2510
11/18/2007,2510,2575,2540,2575
11/19/2007,2575,2575,2550,2575
11/20/2007,2575,2550,2540,2540
11/21/2007,2540,2560,2500,2500
11/22/2007,2500,2500,2450,2450
11/25/2007,2450,2480,2450,2480
11/26/2007,2480,2480,2470,2480
11/27/2007,2480,2500,2485,2500
11/28/2007,2500,2550,2510,2510
11/29/2007,2510,2560,2515,2560
