Date,Open,High,Low,Close,Volume
11-Jan-00,1600,1650,1530,1530,5
11-Jan-00,1150,1720,1150,1576.7,7932
12-Jan-00,1575,1702.8,1575,1702.8,3560
12-Jan-00,1550,1649,1550,1649,2
13-Jan-00,1839,1839,1839,1839,2
13-Jan-00,1768.75,1839,1768.75,1839,1247
14-Jan-00,1925,1986.1,1870,1986.1,2217
14-Jan-00,1986.1,1986.1,1870,1986.1,10
17-Jan-00,2144.95,2144.95,1950,1950,5
17-Jan-00,2144.8,2144.95,1827.25,1827.25,2293
18-Jan-00,1723,1825,1681.1,1797.25,2764
18-Jan-00,1830,1830,1750,1754.7,17
19-Jan-00,1825,1825,1825,1825,6
19-Jan-00,1800,1889.8,1760,1833.2,1708
20-Jan-00,1858.75,1864,1750,1758.45,1236
20-Jan-00,1810,1810,1800,1800,4
21-Jan-00,1758.45,1758.45,1758.45,1758.45,1
21-Jan-00,1750.1,1805,1680,1761.3,1541
24-Jan-00,1874,1902.15,1800,1902.15,1400
24-Jan-00,1820,1902.15,1820,1902.15,4
25-Jan-00,2054,2054,2010,2010,3
25-Jan-00,1965,2054.3,1965,2054.3,1199
27-Jan-00,2124,2218,1961,2074.95,2215
27-Jan-00,2100,2150,2000,2150,8
28-Jan-00,2210,2240,2100,2205.7,24
28-Jan-00,2089,2240.85,2011.25,2178.9,1717
31-Jan-00,2200,2200,2004.6,2004.6,1975
31-Jan-00,2100,2100,2015,2015,7
1-Feb-00,2099,2164.95,2099,2161.35,15
1-Feb-00,2000,2164.95,2000,2164.95,1543
2-Feb-00,2119,2209,2000,2028.65,1968
2-Feb-00,2160,2160,2090,2090,9
3-Feb-00,2175,2175,1990,1990,5
3-Feb-00,2055,2057,1912,1958.15,994
4-Feb-00,2000,2029,1935,1998.7,1227
4-Feb-00,1950,2075,1950,2008.2,12
7-Feb-00,2099,2100,2025,2100,12
7-Feb-00,2030,2145.5,2000,2034.85,1541
8-Feb-00,2090,2097,1976,2008.3,985
8-Feb-00,2100,2105,2000,2000,14
9-Feb-00,2039,2100,2005,2025,5
9-Feb-00,1981,2060,1971,1984.75,700
10-Feb-00,1990,2015,1961,2000.9,854
10-Feb-00,2007,2040,1925,1968.75,15
11-Feb-00,2044,2160.95,2044,2105,24
11-Feb-00,2015,2160.95,2000,2160.95,986
14-Feb-00,2333.8,2333.8,2235,2333.8,2018
14-Feb-00,2333.8,2333.8,2300,2333.8,11
15-Feb-00,2330,2375,2330,2375,4
15-Feb-00,2270,2520.45,2210,2488.9,2402
16-Feb-00,2470,2538,2289.8,2400.2,1357
16-Feb-00,2450,2499,2300,2400,7
17-Feb-00,2480,2573,2480,2573,5
17-Feb-00,2425,2592.2,2360.05,2592.2,1392
18-Feb-00,2670,2799.55,2635,2798.05,550
21-Feb-00,2840,3021,2778,2824.55,1219
22-Feb-00,2840,2880,2715.05,2780.9,578
23-Feb-00,2800,2845,2558.45,2558.5,674
24-Feb-00,2560,2689,2430,2560,764
25-Feb-00,2510,2525,2355.25,2355.25,402
28-Feb-00,2425,2425,2166.85,2297.85,499
29-Feb-00,2310,2390,2114.05,2114.05,487
1-Mar-00,1975,2283.15,1944.95,2283.15,1185
1-Mar-00,1970,1970,1970,1970,1
2-Mar-00,2348,2465.75,2348,2465.75,560
3-Mar-00,2600,2663,2355,2444.7,919
6-Mar-00,2500,2500,2249.15,2256.8,343
7-Mar-00,2200,2200,2076.3,2076.3,465
8-Mar-00,2000,2050,1940,1956.95,428
9-Mar-00,1952,2100,1800.4,1840.3,829
9-Mar-00,1900,1900,1900,1900,1
10-Mar-00,1889,1925,1765,1805,572
13-Mar-00,1845,1942,1660.65,1660.65,269
13-Mar-00,1900,1900,1900,1900,1
14-Mar-00,1600,1770,1527.8,1763.75,847
15-Mar-00,1640,1904.8,1622.7,1904.8,581
16-Mar-00,1978,2057.15,1978,2057.15,423
21-Mar-00,2057,2221.7,2025,2221.15,1324
22-Mar-00,2300,2398.8,2281,2336.2,824
23-Mar-00,2490,2490,2149.35,2183.9,562
24-Mar-00,2200,2201,2020,2103,654
27-Mar-00,2160,2224,1999,2111,803
28-Mar-00,2062,2065,2000,2016.4,610
29-Mar-00,2040,2050,2000,2020,573
30-Mar-00,1925,1950,1858.45,1866.1,394
31-Mar-00,1723,1750,1716.85,1738.95,482
31-Mar-00,1725,1725,1725,1725,1
3-Apr-00,1750,1750,1599.85,1599.85,313
4-Apr-00,1471.9,1471.9,1471.9,1471.9,7
5-Apr-00,1354.15,1555,1354.15,1483.2,1025
6-Apr-00,1551,1601.8,1400,1601.7,784
7-Apr-00,1729,1729.8,1718,1729.8,33
7-Apr-00,1729.8,1729.8,1729.8,1729.8,1
10-Apr-00,1868.15,1868.15,1868.15,1868.15,14
11-Apr-00,1868,1990,1840,1923.3,1078
12-Apr-00,1815,1940,1769.45,1769.45,513
12-Apr-00,1900,1900,1900,1900,3
13-Apr-00,1632,1650,1627.9,1627.9,105
17-Apr-00,1497.7,1497.7,1497.7,1497.7,14
17-Apr-00,1497.7,1497.7,1497.7,1497.7,1
18-Apr-00,1410,1450,1410,1410,3
18-Apr-00,1497.7,1540,1377.9,1377.9,1163
19-Apr-00,1435,1460,1267.7,1267.7,757
19-Apr-00,1400,1400,1400,1400,1
20-Apr-00,1369,1369.1,1369,1369,6
20-Apr-00,1340,1369.1,1166.3,1369.1,1082
24-Apr-00,1470,1478.6,1440,1478.6,336
24-Apr-00,1478.6,1478.6,1478.6,1478.6,17
25-Apr-00,1375,1450,1360.35,1450,10
25-Apr-00,1402,1590,1360.35,1585.25,1726
26-Apr-00,1700,1712.05,1575,1712.05,742
26-Apr-00,1690,1712.05,1690,1712,16
27-Apr-00,1640,1660,1600,1600,11
27-Apr-00,1670,1710,1575.1,1575.1,539
28-Apr-00,1570,1639,1449.1,1610,1492
28-Apr-00,1520,1560,1520,1560,9
2-May-00,1590,1590,1416.85,1416.85,259
3-May-00,1303.55,1490,1246.85,1486.95,976
3-May-00,1303.55,1403.55,1303.55,1403.55,22
4-May-00,1540,1595,1540,1594.25,8
4-May-00,1498,1599,1410,1548.15,1107
5-May-00,1545,1720,1530,1699.95,716
5-May-00,1599,1671,1599,1671,5
8-May-00,1750,1750,1600,1600,5
8-May-00,1749,1805,1565,1615.3,851
9-May-00,1520,1600,1487,1577.15,905
9-May-00,1630,1630,1620,1620,2
10-May-00,1555,1555,1525,1525,3
10-May-00,1560,1580,1452,1476.9,482
11-May-00,1365.25,1365.25,1299.7,1299.7,414
11-May-00,1400,1400,1358.75,1358.75,4
12-May-00,1230,1230,1195.75,1197.9,7
12-May-00,1260,1300,1143.75,1177.85,1030
15-May-00,1125,1319.15,1036.55,1278.8,1498
15-May-00,1085.1,1272.05,1083.65,1272.05,10
16-May-00,1280,1350,1280,1350,3
16-May-00,1311,1381.05,1200,1378.4,998
17-May-00,1398,1425,1268.15,1292.4,2764
17-May-00,1360,1390,1275,1279.5,10
18-May-00,1280,1280,1280,1280,1
18-May-00,1271,1318,1233,1286.65,591
19-May-00,1271,1365,1183.75,1237.4,1034
19-May-00,1310,1360,1210,1269,9
22-May-00,1210,1210,1138.45,1139.35,9
22-May-00,1163,1215,1088.95,1088.95,1160
23-May-00,1041,1090,963,1005,2625
23-May-00,1100,1100,1040,1040,9
24-May-00,977.1,1082,967,1075,8
24-May-00,970,1075,927,998.85,1777
25-May-00,1035,1078.7,1000,1028.6,1655
25-May-00,981,1074,981,1074,2
26-May-00,1035,1035,1005,1035,5
26-May-00,1021.75,1045,960.25,964.8,1480
29-May-00,965,1035,903,983.15,1316
29-May-00,988,1041,988,1000,26
30-May-00,1005,1061,1000,1061,8
30-May-00,989.9,1101.1,972,1101.1,1554
31-May-00,1180,1233.2,1165,1233.2,299
31-May-00,1180,1189.15,1151,1151,6
1-Jun-00,1140,1189,1135,1189,4
1-Jun-00,1205,1224,1090,1120.85,2121
2-Jun-00,1161,1255.3,1155,1255.3,859
2-Jun-00,1210.5,1210.5,1200,1200,5
5-Jun-00,1355.7,1355.7,1355.7,1355.7,4
5-Jun-00,1355.7,1405.9,1345,1382.55,851
6-Jun-00,1398.75,1505,1355,1500,1409
6-Jun-00,1400,1492,1400,1492,10
7-Jun-00,1498,1498,1486,1486,4
7-Jun-00,1450,1540,1440,1485.6,1119
8-Jun-00,1500,1510,1385,1435.45,815
8-Jun-00,1500,1540,1370,1475,4
9-Jun-00,1410,1410,1410,1410,2
9-Jun-00,1415,1425,1352.05,1416,741
12-Jun-00,1442.35,1442.35,1320,1412.6,716
13-Jun-00,1356.1,1367,1280,1330.85,1868
13-Jun-00,1305.1,1305.1,1305.1,1305.1,1
14-Jun-00,1365,1365,1365,1365,1
14-Jun-00,1365,1384,1320,1337.25,749
15-Jun-00,1330,1361.8,1312.25,1329.9,288
15-Jun-00,1301,1301,1301,1301,8
16-Jun-00,1400,1425,1400,1420,6
16-Jun-00,1339,1421,1330,1401.3,949
19-Jun-00,1450,1505,1440,1461.7,775
19-Jun-00,1489,1500,1460,1500,8
20-Jun-00,1510,1565,1426,1426,15
20-Jun-00,1469,1520,1456,1470.9,973
21-Jun-00,1455,1468,1390,1394.65,441
21-Jun-00,1405,1460,1395,1400.2,12
22-Jun-00,1380,1414.95,1364,1375,330
23-Jun-00,1380,1402,1275,1297.7,536
23-Jun-00,1340,1350,1305,1307.8,12
26-Jun-00,1225,1335,1225,1335,11
26-Jun-00,1202,1401.5,1202,1399.5,450
27-Jun-00,1401,1430,1355,1364.15,753
27-Jun-00,1398,1414,1398,1414,2
28-Jun-00,1370,1370,1285,1319.55,455
29-Jun-00,1375,1385,1310,1325.6,498
29-Jun-00,1365,1380,1338,1380,5
30-Jun-00,1398,1398,1398,1398,2
30-Jun-00,1305,1316,1276,1288.4,446
3-Jul-00,1335,1350,1305,1337.5,719
4-Jul-00,1347,1406.9,1340.1,1351.35,1189
4-Jul-00,1420,1427,1410,1427,4
5-Jul-00,1350,1350,1350,1350,2
5-Jul-00,1336,1375,1320,1327.3,409
6-Jul-00,1305,1320,1262.25,1287.8,421
6-Jul-00,1290,1325,1290,1325,5
7-Jul-00,1325,1325,1295,1325,7
7-Jul-00,1310,1310,1240,1242.7,691
10-Jul-00,1289,1310,1250,1280,855
10-Jul-00,1300,1300,1300,1300,1
11-Jul-00,1260,1260,1260,1260,2
11-Jul-00,1290,1310,1250,1252.85,572
12-Jul-00,1246,1270,1245,1258.2,422
13-Jul-00,1269,1305,1185,1231.1,912
13-Jul-00,1325,1325,1245,1270,3
14-Jul-00,1221,1236,1200,1215.5,15
14-Jul-00,1230,1240,1187,1205,615
17-Jul-00,1225,1228,1120,1165.65,945
18-Jul-00,1175,1178,1073.5,1132.5,2291
18-Jul-00,1150,1150,1150,1150,1
