Date,Open,High,Low,Close,Volume
3-Jan-00,15011,15677.5,15011,15677.5,29722
4-Jan-00,16931.65,16931.65,16000,16910.2,94536
5-Jan-00,16801,16801,15557.4,15557.4,119252
6-Jan-00,15300,15400,14312.85,14312.85,70725
7-Jan-00,13168,13168,13167.85,13167.85,5444
10-Jan-00,13250,14200,12114.45,13700,286845
11-Jan-00,13990,13990,12604.05,12604.05,243957
12-Jan-00,12000,13340,11601,13001,166557
13-Jan-00,12950,13200,11960.95,12026.05,99652
14-Jan-00,11962,12313,11212,12081,142981
17-Jan-00,12950,12998,11751,11849.75,117054
18-Jan-00,11800,12298,11400,12240,127889
19-Jan-00,12299,13190,12299,12999.25,173316
20-Jan-00,13050,13498,12590,12632.35,137494
21-Jan-00,12555,13600,12467,13534.5,184521
24-Jan-00,7299,7308.6,7025,7150,278145
25-Jan-00,7150,7250,6910.2,7220,186695
27-Jan-00,7200,7474,7200,7308,188271
28-Jan-00,7374,7600,7374,7550,268267
31-Jan-00,7399,7500,7101,7205,96083
1-Feb-00,7200,7384.4,7111,7366,65915
2-Feb-00,7385,7499.75,7290,7340,82782
3-Feb-00,7348,7487,7348,7450,86903
4-Feb-00,7475,7950,7475,7844,266961
7-Feb-00,8200,8471.5,8165,8471.5,228012
8-Feb-00,9000,9115,8749,8880,196352
9-Feb-00,8900,9100,8575.25,8679,152903
10-Feb-00,8699,9274,8699,9225,207320
11-Feb-00,9250,9962.95,9250,9962.95,63176
14-Feb-00,10759.95,10759.95,10759.95,10759.95,34545
14-Feb-00,10759.95,10759.95,10759.95,10759.95,32700
15-Feb-00,10759.95,10759.95,9899.2,9980,392035
16-Feb-00,9900,10250,9450,9949.55,122805
17-Feb-00,9999,10600,9999,10266.7,151265
18-Feb-00,10420,10599,9775,9840,158041
18-Feb-00,10000,10000,9999,9999,2000
21-Feb-00,9950,10600,9801,10275,235875
22-Feb-00,10389,10499,9980,9990,137121
23-Feb-00,10050,10180,9190.85,9190.85,131394
23-Feb-00,9800,9800,9700,9700,14300
24-Feb-00,9228,9599,8955,9494.5,111453
25-Feb-00,9400,9400,8734.95,8735.95,160333
28-Feb-00,8700,8890,8037.1,8550,158538
29-Feb-00,8625,9233.95,8400,8704.6,353413
1-Mar-00,8800,9400.95,8800,9400.95,90905
1-Mar-00,9250,9250,9250,9250,900
2-Mar-00,9999,10153,9900,10153,16406
3-Mar-00,10900,10965.2,10900,10965.2,24665
3-Mar-00,10965.2,10965.2,10965.2,10965.2,5
6-Mar-00,11842.2,11842.4,11799,11842.4,6060
7-Mar-00,12789.75,12789.75,12789.75,12789.75,13680
8-Mar-00,13812.9,13812.9,12000,12388.4,359148
8-Mar-00,13790,13812.9,13790,13812.9,5005
9-Mar-00,12599,12950,11650,11717.9,109646
10-Mar-00,11999,12655.3,11490,11700,201023
13-Mar-00,11998,12295,10764.05,10764.05,110135
13-Mar-00,10772,10772,10772,10772,10
14-Mar-00,9902.95,10170,9902.95,9902.95,124474
15-Mar-00,9111,10121,9110.75,9707.3,186399
15-Mar-00,9475,9475,9475,9475,25
16-Mar-00,9600,9600,8930.75,8930.75,132158
21-Mar-00,9350,9645.2,9250,9645.2,97316
22-Mar-00,9999,10416.8,9951,10416.8,54694
23-Mar-00,11199,11250.1,10110,10210,159171
23-Mar-00,10400,10400,10400,10400,100
24-Mar-00,10151,11026.75,9700,10673.15,179594
27-Mar-00,10950,11075,10321,10441.65,149172
28-Mar-00,10350,10350,9711.55,10047.2,140483
29-Mar-00,10050,10550,10050,10343.1,103066
30-Mar-00,10151.05,10151.05,9515.7,9676,91481
31-Mar-00,9601,9601,8901.95,8901.95,102306
3-Apr-00,8449,8800,8189.8,8189.8,120919
4-Apr-00,7534.65,7534.65,7534.65,7534.65,92355
4-Apr-00,7534.65,7534.65,7534.65,7534.65,6403
5-Apr-00,7534.65,8137.4,6952,7810.5,435802
6-Apr-00,7844,8435.3,7311.55,8435.3,485434
7-Apr-00,9110.1,9110.1,9110.1,9110.1,9336
7-Apr-00,9110.1,9110.1,9110.1,9110.1,5002
10-Apr-00,9838.85,9838.85,9838.85,9838.85,19021
10-Apr-00,9838.85,9838.85,9838.85,9838.85,13379
11-Apr-00,10200,10625.9,9930,10625.9,332282
11-Apr-00,10625,10625,10625,10625,79
12-Apr-00,10594,10595,9975,10067.6,222490
13-Apr-00,9951.5,9951.5,9262.2,9262.2,78526
13-Apr-00,9262.2,9262.2,9262.2,9262.2,3000
17-Apr-00,8521.25,8521.25,8521.25,8521.25,10264
17-Apr-00,8521.25,8521.25,8521.25,8521.25,3370
18-Apr-00,8521.25,8875,7839.6,7857.5,357757
19-Apr-00,7990,8390,7228.95,7228.95,327215
20-Apr-00,7125,7800,6651.05,7556.2,527193
24-Apr-00,7840,7950,7201,7268.5,240951
25-Apr-00,7200,7448,6690,7295.5,294057
25-Apr-00,7849.95,7849.95,7849.95,7849.95,1
26-Apr-00,7800,7800,7800,7800,151
26-Apr-00,7370,7879.1,7370,7879.1,198532
27-Apr-00,7945,8149,7710,7967.5,367972
28-Apr-00,8050,8400,7971.25,8100,243466
2-May-00,8400,8600,7727,7872,263437
3-May-00,7820,7890,7011.1,7700,323943
4-May-00,7749.5,8225,7500,8172,289491
5-May-00,8192,8725,8192,8500,304992
8-May-00,8690,8700,7520,7552.8,586908
9-May-00,7505,7944,7062,7925,353218
10-May-00,7961,8030,7551,7700,261832
11-May-00,7651,7651,6925.55,7190,463359
12-May-00,7128,7299,6765,6830,346466
15-May-00,6666,7200,6112,6970,515857
16-May-00,7025,7111,6740,6930,383746
17-May-00,6970,7449,6852,6993.25,366848
17-May-00,7230,7230,7230,7230,4000
