Date,Open,High,Low,Close
8/21/2007,884,885,884,885
8/22/2007,885,885,885,885
8/30/2007,885,870,870,870
8/30/2007,885,870,870,870
9/3/2007,870,870,870,870
9/9/2007,870,870,870,870
9/10/2007,870,870,870,870
9/11/2007,870,870,870,870
9/12/2007,870,880,880,880
9/13/2007,880,880,880,880
9/17/2007,880,880,880,880
9/18/2007,880,885,868,870
9/19/2007,870,885,880,885
9/20/2007,885,885,885,885
9/23/2007,885,880,880,880
9/24/2007,880,897,875,875
9/26/2007,875,892,892,892
9/27/2007,892,909,900,905
9/30/2007,905,895,895,895
10/1/2007,895,885,885,885
10/3/2007,885,885,885,885
10/4/2007,885,885,875,885
10/7/2007,885,891,880,891
10/8/2007,891,874,874,874
10/10/2007,874,885,870,885
10/14/2007,885,902,902,902
10/15/2007,902,884,884,884
10/17/2007,885,885,885,885
10/28/2007,885,884,884,884
10/29/2007,884,884,884,884
10/31/2007,884,885,885,885
11/1/2007,885,890,890,890
11/4/2007,890,890,890,890
11/5/2007,890,890,890,890
11/6/2007,890,892,892,892
11/7/2007,892,892,892,892
11/8/2007,892,890,890,890
11/12/2007,890,893,892,893
11/13/2007,893,900,900,900
11/14/2007,900,936,900,936
11/15/2007,936,925,925,925
11/18/2007,925,925,925,925
11/20/2007,925,925,925,925
11/21/2007,925,925,925,925
11/22/2007,925,931,925,931
11/25/2007,931,967,949,967
11/26/2007,967,986,986,986
11/28/2007,986,1065,1005,1065
11/29/2007,1065,1086,1086,1086
12/2/2007,1086,1107,1107,1107
12/3/2007,1107,1215,1129,1215
12/4/2007,1215,1290,1239,1265
12/5/2007,1265,1251,1251,1251
12/10/2007,1251,1276,1275,1276
12/11/2007,1276,1325,1300,1325
12/12/2007,1325,1350,1350,1350
12/13/2007,1350,1404,1377,1404
12/17/2007,1404,1432,1432,1432
12/18/2007,1432,1489,1460,1489
12/19/2007,1489,1520,1518,1520
12/20/2007,1520,1591,1550,1591
12/23/2007,1591,1630,1622,1630
12/24/2007,1630,1695,1662,1665
12/25/2007,1665,1650,1650,1650
12/26/2007,1650,1649,1593,1593
12/27/2007,1593,1562,1501,1520
1/7/2008,1520,1490,1376,1376
1/8/2008,1376,1360,1239,1239
1/9/2008,1239,1313,1263,1290
1/10/2008,1290,1394,1315,1394
1/13/2008,1394,1385,1385,1385
1/14/2008,1385,1360,1333,1333
1/16/2008,1333,1307,1231,1231
1/17/2008,1231,1207,1183,1183
1/20/2008,1183,1206,1183,1183
1/21/2008,1183,1165,1137,1165
1/22/2008,1165,1165,1165,1165
1/23/2008,1165,1220,1165,1200
1/24/2008,1200,1176,1176,1176
1/27/2008,1176,1153,1153,1153
1/29/2008,1153,1130,1086,1086
2/3/2008,1086,1065,1065,1065
2/4/2008,1065,1044,1024,1024
2/5/2008,1024,1004,1004,1004
2/7/2008,1004,1024,1004,1024
2/24/2008,1024,1004,965,965
2/25/2008,965,946,930,930
2/26/2008,930,915,912,912
2/28/2008,912,900,900,900
3/2/2008,900,910,900,900
3/4/2008,900,911,906,911
3/5/2008,911,929,929,929
3/9/2008,929,940,929,940
3/11/2008,940,940,922,922
3/12/2008,922,904,882,882
3/13/2008,882,865,865,865
3/16/2008,865,848,848,848
3/17/2008,848,832,816,816
3/18/2008,816,800,800,800
3/19/2008,800,795,784,784
3/19/2008,800,795,784,784
3/23/2008,784,832,799,832
3/24/2008,832,864,848,864
3/25/2008,864,915,881,915
3/26/2008,915,944,926,926
3/27/2008,926,944,944,944
3/31/2008,944,926,926,926
4/1/2008,926,930,926,930
4/3/2008,930,1004,948,1004
4/6/2008,1004,1024,1024,1024
4/20/2008,1024,1004,1004,1024
4/21/2008,1024,984,965,965
4/24/2008,965,1003,984,1000
4/27/2008,1000,980,980,980
4/29/2008,980,961,961,961
5/5/2008,961,961,961,961
5/7/2008,961,995,980,995
5/7/2008,961,995,980,995
5/8/2008,995,978,978,978
5/11/2008,978,997,997,997
5/12/2008,997,997,978,980
5/12/2008,997,997,978,980
5/13/2008,980,962,961,962
5/15/2008,962,981,981,981
5/18/2008,981,990,980,980
5/22/2008,980,980,980,980
5/25/2008,980,999,970,999
5/26/2008,999,1038,999,1038
6/2/2008,1038,1071,1050,1071
6/5/2008,1071,1071,1071,1071
6/11/2008,1071,1092,1092,1092
6/16/2008,1092,1100,1100,1100
6/17/2008,1100,1080,1060,1060
6/18/2008,1060,1082,1081,1082
6/19/2008,1082,1091,1090,1091
6/22/2008,1091,1085,1082,1085
6/23/2008,1085,1090,1081,1090
6/24/2008,1090,1100,1090,1100
