Date,Open,High,Low,Close
8/15/2007,998,1000,1000,1000
8/16/2007,1000,995,990,990
8/19/2007,990,985,985,985
8/20/2007,985,985,985,985
8/26/2007,985,985,985,985
8/27/2007,985,985,980,980
8/30/2007,980,980,980,980
8/30/2007,980,980,980,980
9/2/2007,980,970,970,970
9/9/2007,970,970,965,970
9/10/2007,970,980,980,980
9/11/2007,980,980,980,980
9/12/2007,980,999,990,999
9/13/2007,999,1015,995,995
9/17/2007,995,1020,1000,1020
9/18/2007,1020,1122,1010,1122
9/19/2007,1122,1118,1105,1118
9/24/2007,1118,1120,1115,1115
9/26/2007,1115,1140,1120,1140
10/3/2007,1140,1121,1120,1121
10/4/2007,1121,1190,1140,1190
10/7/2007,1190,1213,1170,1200
10/8/2007,1200,1261,1213,1261
10/9/2007,1261,1271,1260,1271
10/10/2007,1271,1275,1275,1275
10/17/2007,1280,1260,1260,1260
10/31/2007,1260,1280,1260,1280
11/1/2007,1280,1280,1280,1280
11/4/2007,1280,1379,1300,1379
11/15/2007,1379,1385,1380,1380
11/18/2007,1380,1400,1380,1400
11/19/2007,1400,1400,1400,1400
11/20/2007,1400,1425,1400,1400
11/21/2007,1400,1425,1400,1425
11/22/2007,1425,1450,1450,1450
11/25/2007,1450,1479,1479,1479
11/27/2007,1479,1508,1508,1508
11/28/2007,1508,1568,1508,1538
11/29/2007,1538,1568,1568,1568
12/2/2007,1568,1599,1599,1599
12/3/2007,1599,1630,1630,1630
12/4/2007,1630,1662,1662,1662
12/6/2007,1662,1710,1695,1710
12/10/2007,1710,1710,1710,1710
12/11/2007,1710,1881,1744,1881
12/12/2007,1881,1956,1917,1955
12/13/2007,1955,1994,1994,1994
12/16/2007,1994,2033,2033,2033
12/16/2007,1994,2033,2033,2033
12/18/2007,2033,2073,2073,2073
12/19/2007,2073,2142,2100,2142
12/20/2007,2142,2184,2145,2184
12/23/2007,2184,2227,2227,2227
12/24/2007,2227,2272,2240,2240
12/26/2007,2240,2240,2200,2200
1/7/2008,2200,2196,2196,2196
1/8/2008,2196,2196,1977,1977
1/9/2008,1977,1938,1810,1810
1/10/2008,1810,1847,1810,1847
1/13/2008,1847,1811,1810,1810
1/14/2008,1810,1785,1780,1785
1/16/2008,1785,1760,1750,1760
1/17/2008,1760,1770,1735,1750
1/20/2008,1750,1725,1725,1725
1/21/2008,1725,1691,1553,1560
1/23/2008,1560,1650,1591,1650
1/24/2008,1650,1700,1660,1700
1/27/2008,1700,1700,1666,1666
1/28/2008,1666,1650,1617,1617
1/29/2008,1617,1585,1585,1585
1/31/2008,1585,1554,1554,1554
2/4/2008,1554,1525,1525,1525
2/6/2008,1525,1555,1555,1555
2/13/2008,1555,1530,1530,1530
2/18/2008,1530,1530,1530,1530
2/28/2008,1530,1500,1470,1470
3/2/2008,1470,1469,1441,1469
3/3/2008,1469,1480,1451,1455
3/4/2008,1455,1455,1455,1455
3/9/2008,1455,1426,1400,1400
3/10/2008,1400,1390,1390,1390
3/12/2008,1390,1390,1390,1390
3/13/2008,1390,1363,1363,1363
3/16/2008,1363,1336,1336,1336
3/17/2008,1336,1340,1340,1340
3/20/2008,1340,1340,1263,1263
3/24/2008,1263,1238,1214,1214
3/25/2008,1214,1200,1200,1200
3/27/2008,1200,1215,1200,1210
3/30/2008,1210,1239,1215,1215
3/31/2008,1215,1239,1239,1239
4/2/2008,1239,1269,1245,1269
4/3/2008,1269,1285,1260,1285
4/15/2008,1285,1260,1260,1260
4/16/2008,1260,1295,1260,1294
4/17/2008,1294,1276,1276,1276
4/20/2008,1276,1280,1280,1276
4/22/2008,1276,1270,1270,1270
4/27/2008,1270,1270,1270,1270
4/29/2008,1270,1245,1245,1245
5/5/2008,1245,1250,1250,1250
5/6/2008,1250,1260,1260,1260
5/7/2008,1260,1310,1285,1310
5/7/2008,1260,1310,1285,1310
5/8/2008,1310,1302,1300,1302
5/22/2008,1302,1315,1315,1315
5/25/2008,1315,1321,1321,1321
5/26/2008,1321,1347,1347,1347
6/2/2008,1347,1481,1373,1481
6/3/2008,1481,1510,1510,1510
6/4/2008,1510,1601,1540,1601
6/5/2008,1601,1633,1600,1633
6/9/2008,1633,1698,1665,1698
6/11/2008,1698,1690,1690,1690
6/12/2008,1690,1700,1700,1700
6/17/2008,1700,1734,1700,1715
6/18/2008,1715,1854,1749,1854
6/19/2008,1854,1855,1818,1818
6/23/2008,1818,1820,1820,1820
6/24/2008,1820,1830,1830,1830
6/25/2008,1830,1825,1825,1825
6/26/2008,1825,1790,1790,1790
6/29/2008,1790,1755,1620,1620
6/30/2008,1620,1650,1640,1650
7/1/2008,1650,1670,1640,1670
7/2/2008,1670,1637,1637,1637
7/6/2008,1637,1669,1669,1669
7/20/2008,1669,1700,1700,1700
7/30/2008,1700,1666,1633,1633
7/31/2008,1633,1665,1600,1600
8/4/2008,1600,1568,1537,1537
8/6/2008,1537,1567,1567,1567
8/7/2008,1567,1560,1560,1560
8/10/2008,1560,1530,1530,1530
8/11/2008,1530,1530,1530,1530
8/12/2008,1530,1561,1530,1561
8/13/2008,1561,1596,1531,1596
8/18/2008,1596,1720,1600,1720
8/19/2008,1720,1750,1690,1725
8/21/2008,1725,1828,1740,1828
8/24/2008,1828,2010,1850,2010
8/25/2008,2010,1970,1950,1970
8/26/2008,1970,1970,1940,1955
8/28/2008,1955,1950,1940,1940
9/2/2008,1940,1920,1785,1790
9/3/2008,1790,1780,1780,1780
9/4/2008,1780,1760,1691,1724
9/7/2008,1724,1705,1638,1638
9/8/2008,1638,1660,1650,1650
9/9/2008,1650,1625,1600,1625
9/10/2008,1625,1630,1600,1630
9/11/2008,1630,1650,1630,1650
9/15/2008,1650,1650,1630,1650
9/16/2008,1650,1618,1617,1617
9/16/2008,1650,1618,1617,1617
9/17/2008,1617,1616,1585,1616
9/18/2008,1616,1648,1648,1648
9/21/2008,1648,1625,1625,1625
9/22/2008,1625,1625,1625,1625
9/23/2008,1625,1670,1650,1670
9/24/2008,1670,1640,1637,1640
9/25/2008,1640,1640,1640,1640
10/13/2008,1640,1672,1672,1672
10/19/2008,1672,1705,1705,1705
10/20/2008,1705,1680,1638,1638
10/21/2008,1638,1606,1574,1574
11/3/2008,1574,1543,1543,1543
11/5/2008,1543,1513,1513,1513
11/10/2008,1513,1483,1454,1454
11/19/2008,1454,1460,1460,1460
12/1/2008,1460,1431,1403,1403
12/11/2008,1403,1377,1350,1377
12/14/2008,1377,1360,1340,1340
12/15/2008,1340,1314,1288,1288
12/16/2008,1288,1320,1313,1320
12/17/2008,1320,1320,1300,1300
12/18/2008,1300,1281,1281,1281
12/23/2008,1281,1260,1260,1260
12/28/2008,1260,1260,1230,1230
12/31/2008,1230,1206,1200,1200
1/4/2009,100,1180,1180,1180
1/5/2009,1180,1178,1150,1150
1/6/2009,1150,1150,1150,1150
1/7/2009,1150,1150,1127,1127
1/8/2009,1127,1105,1015,1035
1/11/2009,1035,1055,1055,1055
1/12/2009,1055,1097,1076,1097
1/13/2009,1097,1076,1034,1075
1/18/2009,1075,1055,1055,1055
1/19/2009,1055,1054,1034,1054
1/21/2009,1054,1117,1075,1117
1/25/2009,1117,1161,1139,1150
1/26/2009,1150,1173,1150,1151
1/28/2009,1151,1263,1150,1263
2/3/2009,1263,1238,1167,1167
2/4/2009,1167,1144,1078,1078
2/5/2009,1078,1098,1036,1098
2/9/2009,1119,1077,1077,1077
2/10/2009,1077,1077,1077,1077
2/12/2009,1077,1098,1056,1098
2/15/2009,1098,1150,1080,1150
2/19/2009,1150,1230,1173,1230
2/22/2009,1230,1244,1220,1220
2/26/2009,1202,1213,1180,1211
3/2/2009,1211,1187,1164,1164
3/3/2009,1164,1165,1165,1165
3/4/2009,1165,1142,1142,1142
3/16/2009,1142,1140,1140,1140
3/18/2009,1140,1120,1120,1120
3/24/2009,1078,1100,1070,1070
3/25/2009,1070,1091,1055,1091
3/29/2009,1091,1070,1070,1070
3/30/2009,1070,1088,1088,1088
3/31/2009,1088,1095,1074,1074
4/2/2009,1074,1070,1070,1070
4/6/2009,1070,1050,1050,1050
4/16/2009,1050,1071,1071,1071
4/19/2009,1071,1075,1075,1075
4/20/2009,1075,1075,1075,1075
4/21/2009,1075,1080,1080,1080
4/22/2009,1080,1080,1080,1080
4/27/2009,1080,1082,1075,1075
4/30/2009,1075,1096,1070,1096
5/24/2009,1100,1100,1100,1100
5/27/2009,1100,1100,1100,1100
5/28/2009,1100,1123,1100,1123
6/7/2009,1123,1123,1123,1123
6/8/2009,1123,1150,1140,1150
6/9/2009,1150,1150,1150,1150
6/14/2009,1150,1140,1140,1140
6/17/2009,1140,1140,1140,1140
6/18/2009,1140,1155,1155,1155
6/21/2009,1155,1162,1162,1162
6/25/2009,1162,1185,1185,1185
7/8/2009,1162,1162,1160,1160
7/12/2009,1160,1183,1183,1183
7/13/2009,1183,1183,1183,1183
7/14/2009,1183,1301,1206,1295
7/20/2009,1295,1270,1270,1270
7/23/2009,1270,1295,1270,1270
8/10/2009,1270,1270,1270,1270
8/18/2009,1270,1269,1269,1269
8/20/2009,1269,1263,1240,1240
8/23/2009,1240,1220,1200,1200
9/6/2009,1200,1176,1176,1176
9/20/2009,1176,1153,1153,1153
10/25/2009,1153,1153,1153,1153
11/17/2009,1153,1130,1108,1108
