Date,Open,High,Low,Close,Volume
3-Jan-00,240,252.35,240,252.35,5731815
4-Jan-00,255.1,272.5,251,272.5,11491300
4-Jan-00,242.5,268.9,242.5,268.9,1600
5-Jan-00,290.75,290.75,272,272,104642
5-Jan-00,272,286.8,253.7,285.5,19501032
6-Jan-00,287.9,299.5,287.9,292.95,11969528
7-Jan-00,293.6,316.35,292.2,313.5,15282948
10-Jan-00,318,325,307,307.25,10577702
11-Jan-00,309,312,282.7,288.55,10047006
12-Jan-00,290,304,282,303.8,7299547
12-Jan-00,289.4,291,289.4,291,1050
13-Jan-00,304.5,315.8,303.75,308.5,11374733
14-Jan-00,310,320.5,309,315.9,12638267
17-Jan-00,318,327,308.9,309,6237246
18-Jan-00,309.5,322,308,320,9552799
19-Jan-00,321,323.85,315.65,317,7978953
20-Jan-00,318,324.5,309,310.95,9849381
21-Jan-00,312,326.5,312,325.9,12712072
24-Jan-00,328.25,333.9,325.5,328.15,9245683
25-Jan-00,328,328,320.5,323.55,6857944
27-Jan-00,322.05,335.1,322,333,11499301
28-Jan-00,333.5,339.5,330.65,335.75,9096793
31-Jan-00,328,337.5,328,329,7301830
1-Feb-00,328.65,339.45,328.45,339.25,8462497
2-Feb-00,339.8,346,337,337.8,8383324
3-Feb-00,337,342.75,334.5,341.3,5940988
4-Feb-00,342.5,345.85,338,338.25,8910935
7-Feb-00,340,351.85,340,344,8547410
7-Feb-00,347.15,347.15,347.15,347.15,2000
8-Feb-00,345.1,348.5,343,344.4,4123390
9-Feb-00,345.7,352.5,343.25,345.5,7993767
10-Feb-00,346,364.45,344.2,364.25,8800576
11-Feb-00,364.9,380,356,357.5,8932391
14-Feb-00,352,363.8,352,352.5,3931137
14-Feb-00,360,360,360,360,500
15-Feb-00,352,357,347.5,348.1,5133566
16-Feb-00,349,352.5,342.05,345,4563064
17-Feb-00,346,355.5,344,353.5,5922034
18-Feb-00,352.1,356.95,348.1,350,5370891
21-Feb-00,350,354,346.1,347.45,2999003
22-Feb-00,346,349.5,338.25,341,4143233
23-Feb-00,340,343.7,324,329,3516455
24-Feb-00,330.9,339.75,329.25,335.4,4192549
25-Feb-00,331.1,340.5,320,322.1,5542056
28-Feb-00,329.8,339.8,319,338.5,5785784
29-Feb-00,340,344.75,311.45,311.45,10270555
1-Mar-00,305,322.5,298,317.55,8349420
2-Mar-00,318,320.9,292.15,292.15,9208742
3-Mar-00,285,288,268.8,269.1,7097235
6-Mar-00,280,287.8,248.5,260.9,7876889
7-Mar-00,257.05,263,242.75,246.95,7168259
8-Mar-00,242,249,230,234.6,5426086
9-Mar-00,235.2,241.35,224,229,4162423
10-Mar-00,232,234,215,219.75,7328112
13-Mar-00,225,231,202.2,203.5,7784079
14-Mar-00,205.9,219.75,199,219.7,8137113
15-Mar-00,220,237.25,220,237.25,7086025
16-Mar-00,239,247.4,230,233.5,7685996
21-Mar-00,237,241.5,228.05,240.5,4532758
22-Mar-00,241.75,247.9,240.4,241.25,3837519
23-Mar-00,240.4,245.5,238.25,239.65,2913842
24-Mar-00,240,242.5,239,240.5,2292951
27-Mar-00,249.9,259.7,246,259.7,3435983
28-Mar-00,265.9,280.45,264,280.45,6550155
29-Mar-00,285,288,268.5,269.7,7292475
30-Mar-00,268.5,291.25,258.5,291.25,9824135
30-Mar-00,280,290.9,270,290.9,600
31-Mar-00,269,269,269,269,2675
31-Mar-00,291.25,314.5,285.3,314.5,11125474
3-Apr-00,320.75,334.25,318.6,325.9,14944193
4-Apr-00,325.05,326,299.85,300.3,14442579
5-Apr-00,300.5,312.7,279.1,301,17298883
5-Apr-00,300,300,298,299,400
6-Apr-00,304.6,325.05,302.15,325.05,9653827
7-Apr-00,328.9,351,328.9,351,8246910
10-Apr-00,370,376.9,359.25,363,15551567
11-Apr-00,360.3,360.3,346.25,355.4,5714533
12-Apr-00,356.95,359.9,334,334,8817941
12-Apr-00,330,345,330,337.5,80
13-Apr-00,331.1,331.1,307.3,307.3,187848
17-Apr-00,282.75,300.5,282.75,296.85,13709168
18-Apr-00,300,308.75,294,298.5,7039834
19-Apr-00,299,322.35,299,315.2,11029772
20-Apr-00,317,340.4,309.25,340.4,13106531
24-Apr-00,346.1,359.6,323,325,11129343
25-Apr-00,322,338,310,334,12233281
26-Apr-00,336.9,360.7,334,360.7,12950717
26-Apr-00,307.7,355,307.7,355,200
27-Apr-00,351,351,351,351,50
27-Apr-00,361,366.75,340,345,18249611
28-Apr-00,347,354,342,346.9,10302337
2-May-00,354,355.25,325.05,328.5,11168277
3-May-00,327.9,333.9,314.05,330,9613139
4-May-00,326,343.4,326,337.1,7746637
5-May-00,338.9,342,330.15,337,8389276
8-May-00,330.65,338,322.6,323.65,3704505
9-May-00,322.8,329.45,316.6,329.25,5043725
10-May-00,329.5,334.65,323.15,325.25,5259464
11-May-00,323.6,323.6,313.5,318.1,4541803
12-May-00,316.3,322,312.55,316.1,3314467
15-May-00,312.5,324.45,306.1,319.75,4980836
15-May-00,322.3,322.3,322.3,322.3,50
16-May-00,320,322,315,317,3038402
17-May-00,318,328.15,316.1,318.85,5952293
18-May-00,317.5,319.9,306.75,309.65,2801775
19-May-00,311,319.5,307.7,315.5,5791869
22-May-00,304,316.8,304,313,2991618
23-May-00,311.1,315.95,308.5,314.25,3126883
24-May-00,312.5,317.8,310.55,313.05,2913830
25-May-00,314,317.8,311.5,314.05,2528771
26-May-00,312,318,311.5,317.9,2508505
29-May-00,319.9,348,318.1,337.9,9050038
29-May-00,335.5,335.5,335.5,335.5,50
30-May-00,339.35,345.85,337,343.65,6161356
31-May-00,344,357.4,342.05,343.7,7221133
1-Jun-00,342,346,336.2,339,3869868
1-Jun-00,371.15,371.15,371.15,371.15,80
2-Jun-00,341,345.8,334.15,335.05,4856096
5-Jun-00,340.1,352.35,337,339.1,10942601
6-Jun-00,338,343.95,336.5,338.5,3896006
7-Jun-00,339,344,336.25,337.45,3238122
8-Jun-00,338.5,345,338.5,340.05,4156718
9-Jun-00,338.5,352.5,338.15,338.75,8891668
9-Jun-00,340,340,340,340,10000
12-Jun-00,345,345.9,339,340.65,4545250
13-Jun-00,340.95,347,338.2,339.55,6364260
13-Jun-00,366.5,366.5,366.5,366.5,200
14-Jun-00,341,344.85,336.1,337.5,4281317
15-Jun-00,337,338,327,330.85,4493625
16-Jun-00,330,335.4,329.3,331.25,4489122
19-Jun-00,330,336.85,330,332.25,2628601
20-Jun-00,332,334.9,329.05,330.7,2794523
21-Jun-00,331,334,328,328.55,2198535
22-Jun-00,328,349,323.1,348.75,10389522
23-Jun-00,349.25,353.8,333.6,334.25,16253845
26-Jun-00,332.3,335,329.1,330.7,2323683
27-Jun-00,331.5,340,331.5,334.1,5378366
28-Jun-00,333.5,336.8,332,333.25,1434437
29-Jun-00,335,344.1,334.65,339.4,5286377
29-Jun-00,339,339,339,339,28000
30-Jun-00,338.5,343.3,335.8,340.9,4209332
3-Jul-00,342.1,352.85,342.1,348.45,8802391
4-Jul-00,350,351.15,345,345.75,6054856
5-Jul-00,345.6,359.4,345.6,352.55,13406977
6-Jul-00,352,365.8,349.3,364.1,14709701
7-Jul-00,365,369,362.1,362.4,9252173
10-Jul-00,364,371.3,359.5,368.2,5861776
10-Jul-00,368,368,368,368,200
11-Jul-00,367.5,375.9,366.6,374.45,8116673
12-Jul-00,373.5,376,368.25,369.65,4640899
13-Jul-00,368.5,374,364,365.25,3726531
14-Jul-00,365.5,369.9,358.2,359.9,5216689
14-Jul-00,365,379.95,362,362,6040
17-Jul-00,381.9,381.9,381.9,381.9,25
17-Jul-00,362.5,364.55,358,361.8,4556558
18-Jul-00,361.1,363.1,358.1,359.2,2332338
19-Jul-00,358,362.5,352.5,353.2,4431512
20-Jul-00,352.5,361,347.15,357.85,6278828
21-Jul-00,357.1,357.1,341.55,341.95,8010476
24-Jul-00,335,338.7,324.1,325.1,4485120
24-Jul-00,333.95,333.95,333.95,333.95,649400
25-Jul-00,326.4,337.2,320,336.9,5698303
26-Jul-00,337.4,338,324.25,324.95,3177227
27-Jul-00,323.1,350,322.1,348.35,7875795
27-Jul-00,331,331,331,331,55000
28-Jul-00,346,348,339.15,340.8,5305841
31-Jul-00,335.1,341,335.1,337.95,1296244
1-Aug-00,339,342.8,336,337.95,2996232
2-Aug-00,337,339.5,336.1,338.75,1267871
3-Aug-00,337.9,343.9,335,335.2,2367279
4-Aug-00,335.5,337.8,328.9,329.2,2989740
7-Aug-00,323.2,332.5,323.2,330.8,1859738
8-Aug-00,330,333.9,330,331.65,1426390
9-Aug-00,331.4,337.4,331.4,334.75,1881688
10-Aug-00,332.05,335.9,328.2,328.7,1253754
11-Aug-00,328.1,332,328.05,328.85,2066327
14-Aug-00,329.5,331.95,322.4,330.15,2804644
16-Aug-00,329.25,340.85,329.25,337.5,3934801
16-Aug-00,334,334,334,334,65000
17-Aug-00,337,345.7,335,338,5211390
18-Aug-00,337.6,340.9,335.5,336.5,2576365
21-Aug-00,336.05,339,336.05,337.35,1099085
22-Aug-00,336.6,342.45,336.6,339.25,2046291
23-Aug-00,338.5,345.85,338.1,339.15,3659665
24-Aug-00,338.5,340.15,334,335.8,3401566
25-Aug-00,336.35,338,331,333.75,1695290
28-Aug-00,330.2,335.85,328,332.65,985752
28-Aug-00,328,335,328,335,100000
29-Aug-00,332,335.5,330.75,331.9,1185455
30-Aug-00,331.1,338.9,331.1,336.15,3567231
31-Aug-00,336.4,340.5,336,337.05,2104589
31-Aug-00,338.25,338.25,338.25,338.25,54000
4-Sep-00,331.05,356.8,331.05,356.7,9627212
5-Sep-00,356.8,359.4,352.85,355.75,3692155
6-Sep-00,355,366,352,362.65,12088430
7-Sep-00,362,370.8,360.15,361.5,6893981
8-Sep-00,360.15,375,360.15,373.95,6377155
11-Sep-00,379.25,387,374,384.55,8895113
12-Sep-00,385,390,381,385.3,6730002
13-Sep-00,384,389,372.1,376.45,8181173
14-Sep-00,377,380.8,373.2,377.4,3102438
15-Sep-00,376,378,361.25,364.9,4376940
18-Sep-00,351,364,345.1,346,3621441
19-Sep-00,345,353,335,340.25,5476988
20-Sep-00,341,350,337.25,346.35,3498135
21-Sep-00,345.05,350,342.1,347.5,2933793
22-Sep-00,347,347,334.05,334.75,4859226
25-Sep-00,342,349.9,338.1,343.3,3771451
26-Sep-00,343.5,344.7,338.1,343.5,3087025
27-Sep-00,342,354.6,334.05,354.4,6358129
28-Sep-00,354.8,354.9,344,346.05,4446668
29-Sep-00,346.9,350,341,342.6,3825191
3-Oct-00,341.9,345.8,338.25,344.7,1804589
4-Oct-00,345,348.5,343,344.7,1409305
5-Oct-00,344,347,339.75,340.2,1109431
6-Oct-00,339.6,340.9,335.9,340.2,1963430
9-Oct-00,350,350,337.5,340.9,2152388
10-Oct-00,340,342,334.05,335.2,2105055
11-Oct-00,335,335,327.65,330.15,1922399
12-Oct-00,329.25,334.5,322.65,327.15,4857975
13-Oct-00,324.8,324.8,316.25,317.55,4355923
16-Oct-00,325.4,332,306.1,307,5852581
17-Oct-00,306,311.4,297.5,301.7,8635207
17-Oct-00,305,305,305,305,100000
18-Oct-00,300.5,302.45,294.05,298.3,3130888
19-Oct-00,295.75,308.35,287.05,308.1,3947169
19-Oct-00,293,293,293,293,140000
20-Oct-00,308.45,313.5,295.1,295.85,7080743
23-Oct-00,297,298,283.7,287.3,4042386
24-Oct-00,288,294.95,285.05,293.3,3783608
25-Oct-00,293.5,303.5,292,302,4265690
26-Oct-00,308.8,308.8,305,305.7,817808
27-Oct-00,306.9,309,300.15,304.15,2261670
30-Oct-00,304,309.5,300.1,301.25,2975896
31-Oct-00,301.05,303.95,294.55,303.15,4521019
1-Nov-00,303.9,312.15,303.9,307.65,4569510
2-Nov-00,309,316.7,307.1,316.2,4354592
2-Nov-00,311.25,311.25,311.25,311.25,25000
3-Nov-00,334.9,334.9,306.5,306.5,68
3-Nov-00,317,320.9,313.5,314,3755008
6-Nov-00,317.4,320.2,312,312.5,3710628
7-Nov-00,312,315.65,311.6,314,2442873
8-Nov-00,315,322,314.5,319,4983437
9-Nov-00,317.25,322.4,315,317.55,3178510
10-Nov-00,317.1,319.5,311.7,312,2786508
10-Nov-00,316.75,316.75,316.75,316.75,25000
13-Nov-00,300,307.45,300,302.35,2355672
14-Nov-00,301.2,312.8,301.2,311,3902437
15-Nov-00,312.1,317.2,309.7,313.65,3147536
16-Nov-00,312.55,315.4,309.25,312.85,2178597
17-Nov-00,310.85,311.35,307.1,310.2,3159979
20-Nov-00,312,313,309.7,310.55,1879185
21-Nov-00,310.25,311.1,307.6,309.4,3150429
22-Nov-00,310,311.1,307.9,308,1256898
23-Nov-00,307.65,312.2,306.25,312.1,2391960
24-Nov-00,309.6,316.9,309.6,313.2,3822066
27-Nov-00,316,319.5,314.15,319.4,3802763
28-Nov-00,318.2,330.95,318.2,328.6,8431234
29-Nov-00,328,332,324,326,4427244
30-Nov-00,327,330.9,325.6,327.8,2231619
1-Dec-00,326.5,330.1,324.15,328.4,4026178
1-Dec-00,328.5,328.5,328.5,328.5,12000
4-Dec-00,329.9,335.85,329.9,333.1,4191897
5-Dec-00,334.8,340.7,334.75,339.3,5422754
5-Dec-00,337.25,337.25,337.25,337.25,13000
6-Dec-00,340.75,344.75,336.3,337,3177480
7-Dec-00,336.3,340.25,336,337.5,1852403
7-Dec-00,338.25,338.25,338.25,338.25,142000
8-Dec-00,337.5,341.65,336.25,338.8,4029994
11-Dec-00,340.5,347.8,340,346.6,5841885
12-Dec-00,347.2,348.8,343.55,344.05,3021133
12-Dec-00,338.5,338.5,338.5,338.5,4
13-Dec-00,343.4,349.5,343.25,347.4,4801688
14-Dec-00,347.9,352.5,345,345.95,6012992
15-Dec-00,345,345,336.65,338.05,3294212
18-Dec-00,338.15,343.5,336,341.75,3051921
19-Dec-00,342,345,340.05,340.4,3319223
20-Dec-00,340.15,342.55,337.55,341.65,2995048
21-Dec-00,340.5,344.8,336.8,343.4,3743265
22-Dec-00,344.8,346.75,337.5,338.4,3921796
26-Dec-00,340.1,340.1,328,328.5,3794634
27-Dec-00,327.7,333.9,324.5,333.2,2331901
28-Dec-00,334.75,341.5,332.6,339.25,3230894
29-Dec-00,338.25,340.6,336.55,339,2623942
1-Jan-01,339.95,344.5,339.5,342.35,1886080
2-Jan-01,341.25,359,341.25,357.3,8051932
3-Jan-01,356.45,361.5,353.2,359.7,7403906
4-Jan-01,361.3,367.75,356.25,358.15,4238604
4-Jan-01,362.5,362.5,362.5,362.5,5000
5-Jan-01,358.1,366.5,356.95,364.65,5177791
8-Jan-01,362.25,367.75,358.8,360.8,4717987
9-Jan-01,358.5,362.4,357.25,358.4,4140212
10-Jan-01,360,361.9,349.5,352.45,3920465
11-Jan-01,352.75,357.65,351.1,356.25,3153463
12-Jan-01,357,358.6,353.9,354.3,2541881
15-Jan-01,355,357.45,352,356.5,1707809
16-Jan-01,355.05,370,354.5,369.1,9477875
17-Jan-01,369.9,370.5,360.6,361.9,3424357
18-Jan-01,361.05,366.5,361.05,364.7,2308076
18-Jan-01,366.25,366.25,364.6,364.6,529450
19-Jan-01,366,373.7,365.1,368.75,5850008
22-Jan-01,372,375.8,369,374.7,7273309
22-Jan-01,387.35,387.35,370,370,100
23-Jan-01,399.75,399.75,399.75,399.75,100
23-Jan-01,375.9,384.75,375.6,381.45,10795472
24-Jan-01,382.4,383.9,378,380.2,5641584
25-Jan-01,379.2,383.4,377.1,381.45,3866696
25-Jan-01,398.7,398.7,398.7,398.7,1
29-Jan-01,375.1,378.8,368.55,377.75,5030158
30-Jan-01,379,390.7,379,389.85,12082119
30-Jan-01,347.95,347.95,347.95,347.95,500
31-Jan-01,388,388,388,388,13750
31-Jan-01,389.5,391,383.3,384.15,6852017
1-Feb-01,383.25,388.6,373,385.2,10575585
2-Feb-01,385.1,395.55,383.5,394.35,8287115
2-Feb-01,357.95,403.75,357.95,403.75,51
5-Feb-01,395,400.7,391,399.85,11341398
6-Feb-01,400.05,403.6,396,396.75,5274706
7-Feb-01,398.15,398.9,392.05,393.8,3334580
8-Feb-01,393.2,397,390.5,396.1,2839895
9-Feb-01,396,401.9,394.05,398.15,7552673
12-Feb-01,400.25,406.7,395.5,401,6649331
13-Feb-01,401.9,412,397.1,410.65,15519774
14-Feb-01,412,416.9,409.05,415.35,8238310
14-Feb-01,414.75,416.75,403,416.75,20050
15-Feb-01,415.35,425.3,413.5,422.1,12698696
16-Feb-01,423,430.35,421.1,423.75,8621950
16-Feb-01,441,441,426.25,426.25,20050
19-Feb-01,423,423,423,423,23000
19-Feb-01,424,427.35,418.2,424.8,6081953
20-Feb-01,424.95,426.85,421.25,423.95,5392138
21-Feb-01,423,424.9,412.3,414.9,7047959
22-Feb-01,415.55,419.5,409,417,5364705
23-Feb-01,417.9,420.6,407,409.7,6828956
26-Feb-01,410.25,413,402.3,405.45,5065615
26-Feb-01,377,404.9,377,404.9,1600
27-Feb-01,404.9,404.9,404.9,404.9,25
27-Feb-01,406,409.25,396.7,402.75,4555656
